시도교육청코드,시도교육청명,표준학교코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,2,중식,20210910,676,칼슘현미밥★<br/>호박고추장찌개★5.6.13.14.16.18.<br/>양배추숙쌈★<br/>콩나물무침★5.<br/>돈육굴소스볶음★2.5.6.10.13.14.16.18.<br/>어묵볶음★1.5.6.13.14.16.18.<br/>깍두기★9.13.18.<br/>과일★12.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,642.1 Kcal,탄수화물(g) : 99.5<br/>단백질(g) : 41.4<br/>지방(g) : 11.5<br/>비타민A(R.E) : 160.1<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 1.1<br/>비타민C(mg) : 15.4<br/>칼슘(mg) : 197.5<br/>철분(mg) : 4.6,20210911
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,2,중식,20210909,999,옥수수알밥★5.13.<br/>순두부된장국★5.6.13.18.<br/>닭감자조림★5.6.9.13.14.15.16.18.<br/>시금치나물★<br/>볶음김치(자율)★5.9.13.18.<br/>핫도그+케찹★1.2.5.6.10.12.13.14.15.16.18.<br/>푸딩★1.5.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,628.9 Kcal,탄수화물(g) : 83.8<br/>단백질(g) : 39.8<br/>지방(g) : 16.6<br/>비타민A(R.E) : 323.6<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 22.8<br/>칼슘(mg) : 198.5<br/>철분(mg) : 2.6,20210911
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,2,중식,20210908,999,마파두부덮밥★5.6.10.12.13.14.16.18.<br/>달걀국★1.5.13.<br/>비빔군만두★1.5.6.10.13.14.16.18.<br/>깍두기★9.13.18.<br/>과일★12.13.<br/>우유★2.5.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,799.1 Kcal,탄수화물(g) : 112.6<br/>단백질(g) : 38.5<br/>지방(g) : 20.9<br/>비타민A(R.E) : 279.5<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 40.2<br/>칼슘(mg) : 328.5<br/>철분(mg) : 5.1,20210911
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,2,중식,20210907,999,돈육김치볶음밥★9.10.13.18.<br/>황태콩나물국★1.5.13.<br/>치킨텐더★1.5.6.13.15.16.18.<br/>백김치★9.13.<br/>후식(음료)★1.2.5.13.<br/>열대과일샐러드★1.2.5.11.12.13.16.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,716.7 Kcal,탄수화물(g) : 99.8<br/>단백질(g) : 32.9<br/>지방(g) : 23.2<br/>비타민A(R.E) : 150.7<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 60.0<br/>칼슘(mg) : 126.4<br/>철분(mg) : 3.7,20210911
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,2,중식,20210906,999,칼슘수수밥★<br/>초코파이&요구르트★1.2.5.6.13.<br/>바지락살미역국★5.6.13.14.16.18.<br/>돼지갈비찜★2.5.6.10.13.14.16.18.<br/>무말랭이무침★13.<br/>버섯잡채★5.6.8.10.13.14.16.18.<br/>배추김치★9.13.18.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,714.7 Kcal,탄수화물(g) : 106.4<br/>단백질(g) : 37.0<br/>지방(g) : 13.6<br/>비타민A(R.E) : 255.6<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 8.3<br/>칼슘(mg) : 233.3<br/>철분(mg) : 8.0,20210911
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,2,중식,20210903,999,후리가케밥★1.5.9.13.16.<br/>메밀소바★3.5.6.13.14.15.16.18.<br/>깻잎지★13.18.<br/>한그릇떡볶이★1.2.5.6.13.16.18.<br/>튀김류★1.5.6.14.16.18.<br/>단무지(자율/덮밥용)★<br/>아이스망고★2.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,859.9 Kcal,탄수화물(g) : 163.1<br/>단백질(g) : 20.7<br/>지방(g) : 15.6<br/>비타민A(R.E) : 485.5<br/>티아민(mg) : 0.2<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 23.8<br/>칼슘(mg) : 162.5<br/>철분(mg) : 6.8,20210910
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,2,중식,20210902,999,칼슘현미밥★<br/>빵(후식)★1.2.5.6.13.14.<br/>감자양파국★5.6.13.14.16.18.<br/>돼지고기김치찜★5.6.9.10.13.14.16.18.<br/>파래자반(완)★<br/>두부구이&소스★5.6.13.14.16.18.<br/>김치류★,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,670.8 Kcal,탄수화물(g) : 87.7<br/>단백질(g) : 46.2<br/>지방(g) : 14.4<br/>비타민A(R.E) : 951.3<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 13.1<br/>칼슘(mg) : 162.8<br/>철분(mg) : 4.8,20210909
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,2,중식,20210901,365,하이라이스★1.2.5.6.10.12.13.16.18.<br/>콩나물김칫국★5.9.13.18.<br/>참나물무침★<br/>그릴소시지★2.5.6.10.<br/>감자튀김/케찹★5.12.13.16.<br/>깍두기★9.13.18.<br/>후식(음료)★1.2.5.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,742.6 Kcal,탄수화물(g) : 108.2<br/>단백질(g) : 28.4<br/>지방(g) : 24.8<br/>비타민A(R.E) : 158.4<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 21.0<br/>칼슘(mg) : 162.1<br/>철분(mg) : 4.1,20210908
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,3,석식,20210910,198,오므라이스볶음밥★1.2.5.6.12.13.16.18.<br/>조각피자★1.2.5.6.10.12.13.16.18.<br/>우동★1.5.6.9.13.16.18.<br/>단무지무침★18.<br/>카프리제샐러드★2.12.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,1112.6 Kcal,탄수화물(g) : 136.4<br/>단백질(g) : 52.5<br/>지방(g) : 38.6<br/>비타민A(R.E) : 410.1<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 12.6<br/>칼슘(mg) : 615.2<br/>철분(mg) : 5.5,20210911
B10,서울특별시교육청,7010793,한양대학교사범대학부속고등학교,3,석식,20210909,276,칼슘완두콩밥★<br/>부대찌개★2.5.6.9.10.12.13.14.16.18.<br/>날치알계란찜★1.13.<br/>피쉬앤칩스★1.2.5.6.13.16.18.<br/>구이김★13.<br/>오이생채(자율)★5.6.13.<br/>와플&초코아이스크림1.2.5.6.13.14.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(육우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 수입우(호주산)<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 수입(중국)<br/>명태 : 수입(러시아)<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>낙지 수산가공품 : 수입(중국)<br/>명태 수산가공품 : 수입(러시아)<br/>오징어 수산가공품 : 수입(페루)<br/>꽃게 수산가공품 : 수입(베트남)<br/>두부 : 수입(대두:중국)<br/>콩 : 국내산,862.4 Kcal,탄수화물(g) : 110.3<br/>단백질(g) : 36.6<br/>지방(g) : 32.4<br/>비타민A(R.E) : 447.8<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 16.2<br/>칼슘(mg) : 315.1<br/>철분(mg) : 6.3,20210911
